"scene_code","scene_template_num","business_type_code","business_type_level","primary_tag_code","secondary_tag_code","secondary_title_level","usergroup_id","image_location","channel_touch_code_set","status","is_scene_all_touch_query","exclusive_scene_id","order_field","creator_id","create_time","update_time"
"1659827586784391215","7600456,7600457,7600458,7600459,7600460,7600461,7600462,7600463,7600464,1800407,1800408,1800409,1800410,1800411,1800412,1800413,1800414,1800415,1800416,1800417,1800418,1800419,1800420,1800421,1800422,1800423,1800424,1800425,1800426,1800427,1800428,1800429,1800433,1800434,1800435,1800436,1800437,1800438,1800439,1800440,1800441,1800442,1800443,1800444,1800445,1800446,1800447,1800448,1800449,1800450,1800451,1800452,1800453,1800454,1800455,3800388,3800389,3800390,3800391,3800392,3800393,3800394,3800395,5100365,5100366,5100369,5100370,5100371,5100372,5100373,5100374,5100377,5100378,5100379,5100380,5100381,5100382,5100383,5100384,5100385,5100386,5100387,7400350,7400351,7400352,7400353,7400354,7400355,7400356,7400357,7400358,7400359,7400360,7400361,7400362,7600465,7600466,7600467,7600468,7600469,3800396,3800397,7400363,7400364,7400365","BU13",,"STJ","STJ025",,,,,"30","1",,,,"13/1/2025 15:11:13","24/2/2025 11:36:48"
"1659827586784391216","1800396,1800397,1800398,1800399,1800400,1800401,1800402,1800403,1800404,1800405,1800406,1800430,1800431,1800432,5100363,5100364,5100367,5100368,5100375,5100376","BU05",,"STJ","STJ020",,,,,"30","1",,,,"13/1/2025 15:12:28","13/1/2025 15:12:28"
"1859827586784331001","00022","BU02","3","SYJ","SYJ004","2","1857032010661502977",,"{""100006"":""9001101011""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:00"
"1859827586784331002","00023","BU02","3","STX","STX007","1","1857032091670552577",,"{""100006"":""9001101011""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:00"
"1859827586784331003","00024","BU02","3","SGZ","SGZ002","8","1857032391299047424",,"{""100006"":""9001101011""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:00"
"1859827586784331004","00025","BU02","3","SYH","SYH006","8","1857032655993184256",,"{""100006"":""9001101011""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:01"
"1859827586784331005","00026","BU02","3","STJ","STJ014","1","1857032894087045120",,"{""100011"":""50011""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:01"
"1859827586784331006","00027","BU02","3","STJ","STJ014","1","1857033749175607297",,"{""100011"":""50011""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:01"
"1859827586784331007","00028","BU02","3","STJ","STJ014","1","1857033826283692033",,"{""100011"":""50011""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:01"
"1859827586784331008","00029","BU02","3","STJ","STJ014","1","1857034007553122305",,"{""100011"":""50011""}","60","1",,,"mengll","12/11/2024 16:55:28","9/1/2025 23:40:02"
